T-06,concepto,área,estado,vistas,motivo_con_ubicación
T-06-38,Resultado semántico de revisión,M-10,REPRESENTADO,09_REVISION,
T-06-39,Próxima acción,M-10,REPRESENTADO,09_REVISION,
T-06-40,Ciclo cerrado trazable,M-10/M-12,REPRESENTADO,05_PROCESO 09_REVISION,
T-06-41,Revisión pendiente,M-10/M-11,REPRESENTADO,09_REVISION,
T-06-42,Cartera profesional · Dashboard interdisciplinario · Línea temporal longitudinal · Progreso longitudinal propio,M-11,REPRESENTADO,09_REVISION,
T-06-43,Nota de coordinación autorizada,M-11,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-44,TVCC-30,M-12,REPRESENTADO,09_REVISION,
T-06-45,Alcance,M-02/M-03,REPRESENTADO,03_VINCULO,
T-06-46,Progresión de entrenamiento,M-08/M-10,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-47,Día tipo,M-07,REPRESENTADO,06_NUTRICION,
T-06-48,Comida,M-07,REPRESENTADO,06_NUTRICION,
T-06-49,Opción de comida,M-07,REPRESENTADO,06_NUTRICION,
T-06-50,Ítem prescripto,M-07,REPRESENTADO,06_NUTRICION 11_CATALOGO_COORDINACION,
T-06-51,Grupo de intercambio,M-07,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-52,Nutriente crítico,M-07,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-53,Estado de preparación,M-07,REPRESENTADO COMO ATRIBUTO,DV-06.6,atributo obligatorio estadoPreparación del Ítem prescripto (DV-06.6)
T-06-54,Ingesta registrada,M-07,REPRESENTADO,06_NUTRICION,
T-06-55,Atributo nutricional extendido,M-07,REPRESENTADO COMO ATRIBUTO,DV-06.6,atributosExtendidos del Elemento de catálogo (DV-06.6)
T-06-56,Modalidad de prescripción y registro nutricional,M-07,REPRESENTADO COMO ATRIBUTO,"DV-06.6, DV-06.11","atributo modalidad del Ítem prescripto y de la Ingesta registrada (DV-06.6, DV-06.11)"
T-06-64,Recurso didáctico de catálogo,M-07/M-08,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-65,Evidencia visual de ingesta,M-07,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-66,Atlas de referencia de porciones,M-07,REPRESENTADO,11_CATALOGO_COORDINACION,
T-06-57,Microciclo,M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-58,Propósito de bloque o microciclo,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,atributo propósito de Bloque y Microciclo (DV-06.7)
T-06-59,Criterio de intensidad,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,atributo criterioIntensidad de Prescripción (DV-06.7)
T-06-60,Sustitución de ejercicio,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,atributo ejercicioRealizadoRef de Ejecución real: conserva prescripto y realizado (DV-06.7)
T-06-61,Condición de sesión,M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-62,Granularidad de registro de entrenamiento,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,atributo granularidad de Ejecución real (DV-06.7)
T-06-63,Esfuerzo percibido,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,atributo esfuerzoPercibido de Ejecución real (DV-06.7)
T-06-67,Zona muscular,M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-68,Vista anatómica de Zona,M-08,REPRESENTADO,07_ENTRENAMIENTO (como atributo),
T-06-69,Relación Ejercicio–Zona muscular,M-08,REPRESENTADO,07_ENTRENAMIENTO,
T-06-70,Rol de implicación muscular,M-08,REPRESENTADO,07_ENTRENAMIENTO (como atributo),
T-06-71,Serie ejecutada estructurada,M-08,REPRESENTADO COMO ATRIBUTO,DV-06.7,granularidad serie de Ejecución real; atributos carga/unidad/repeticiones/esfuerzo (DV-06.7)
T-06-72,Método profesional versionado,M-11,REPRESENTADO,08_ANTROPOMETRIA 10_TRANSVERSAL,
T-06-73,Ejecución de cálculo reproducible,M-11,REPRESENTADO,10_TRANSVERSAL,
T-06-74,Referencia profesional adoptada,M-11,REPRESENTADO,10_TRANSVERSAL,
T-06-75,Plantilla BE versionada de solicitud,M-03,REPRESENTADO,10_TRANSVERSAL,
T-06-76,Solicitud estructurada de información,M-03,REPRESENTADO,10_TRANSVERSAL,
T-06-77,Respuesta estructurada autoinformada,M-03,REPRESENTADO,10_TRANSVERSAL,
T-06-78,Evaluación antropométrica en preparación,M-09,REPRESENTADO,10_TRANSVERSAL,
T-06-79,Anulación antropométrica,M-09/M-06,REPRESENTADO,10_TRANSVERSAL,
