ID_relacion,figura,origen,destino,card_origen,card_destino,tipo,regla_fuente,tipo_fuente,texto_literal_fuente,nota_derivacion,estado,secciones_06
R011,DV-06_02,Verificación profesional,Habilitación,,,dependencia,"06 §6.6, L2780–L2805",DEPENDENCIA_SIN_CARDINALIDAD,"### 6.6. Habilitación

`Habilitación` es una dimensión independiente por Identidad + Alcance cuando aplique.

```text
VERIFICADO
≠ Habilitación efectiva
≠ Autorización sobre datos
```

#### 6.6.1. Modelo separado de Verificación profesional — `7.13-01`

La unidad `7.13-01` queda resuelta explícitamente mediante una relación estructural separada:

```text
Identidad BE
  ├─ Verificación profesional por Alcance
  └─ Habilitación por Alcance, cuando aplique
```

Ambas pueden coexistir con resultados distintos. La existencia, cambio o resolución favorable de una no muta la otra por implicación.

**`REG-06-33` — Verificación no crea Habilitación.** La resolución `VERIFICADO` nunca habilita por inferencia.

B-02 conserva la referencia estructural a Habilitación; la regla que la determina, su condición académica/comercial y la capacidad configurada se coordinan con M-05 y las políticas propietarias posteriores. B-02 no convierte Habilitación en estado de la máquina de Verificación ni en autorización de datos.",Verificación y habilitación son dimensiones distintas. La dependencia no significa concesión automática ni composición.,ACTIVA,6.6
R012,DV-06_02,Identidad BE,Capacidad configurada,1,0..1,asociación,"06 §9.5.1, L3734–L3739",DERIVACION_JUSTIFICADA,"#### 9.5.1. Propiedad

**`REG-06-81` — La capacidad pertenece a la identidad profesional.**

Existe una única capacidad efectiva por identidad profesional para el cómputo. Nutrición y Entrenamiento no poseen bandas separadas que dupliquen al asesorado.",Se corrige el propietario a Identidad BE profesional. Una configuración efectiva común a Nutrición y Entrenamiento; 0 admite ausencia previa a configuración y no limita su historia versionada.,ACTIVA,9.5.1
R013,DV-06_03,Solicitud de vínculo,Vínculo — componente de alcance,1,0..1,asociación,"06 §7.3, L3010–L3041; 06 §7.5, L3089–L3118",DERIVACION_JUSTIFICADA,"### 7.3. Solicitud de vínculo

Una Solicitud conserva identificador, profesional, asesorado o referencia de invitación pendiente, exactamente un Alcance, finalidad, actor iniciador, doble temporalidad, procedencia, estado y antecedente si se reitera.

La solicitud es atómica por Alcance; un Vínculo puede agrupar varios Alcances, manteniendo decisiones independientes.

#### 7.3.1. Estados

```text
PENDIENTE
ACEPTADA
RECHAZADA
CADUCADA
INVALIDADA
```

Los cuatro últimos son terminales para esa Solicitud concreta.

#### 7.3.2. Lista blanca

| Transición | Origen → destino | Actor | Condición | Efecto |
|---|---|---|---|---|
| `CrearSolicitud` | inicio → `PENDIENTE` | profesional o asesorado | Alcance/finalidad + elegibilidad estructural | no acceso; no capacidad |
| `AceptarSolicitud` | `PENDIENTE → ACEPTADA` | asesorado | confirmación explícita + reevaluación | crea/incorpora Alcance de Vínculo |
| `RechazarSolicitud` | `PENDIENTE → RECHAZADA` | asesorado | confirmación explícita | conserva antecedente |
| `CaducarSolicitud` | `PENDIENTE → CADUCADA` | sistema bajo política 08 | condición temporal | plazo no fijado aquí |
| `InvalidarSolicitud` | `PENDIENTE → INVALIDADA` | sistema/actor propietario | elegibilidad o contenido ya incompatibles | requiere nueva Solicitud |

**`REG-06-44` — Solicitud equivalente pendiente única.** Coinciden profesional, destinatario resoluble, Alcance y finalidad; solo una puede estar `PENDIENTE`.

**`REG-06-45` — Caducidad sin plazo en M-03.** B-03 define la transición, no la duración. Reiterar crea nueva Solicitud relacionada.

### 7.5. Vínculo por Alcance

`Vínculo` agrupa `1..N` componentes de Alcance. Cada componente conserva Alcance, finalidad, Solicitud de origen, estado, actor/autoría, ocurrencia/registro, procedencia y motivo cuando aplique.

La máquina de T-06-15 opera por Alcance, evitando que un estado global oculte divergencias.

#### 7.5.1. Estados

```text
ACEPTADO
PAUSADO
FINALIZADO
```

#### 7.5.2. Lista blanca

| Transición | Origen → destino | Actor | Condición | Efecto |
|---|---|---|---|---|
| `AceptarAlcanceDeVinculo` | inicio → `ACEPTADO` | asesorado | Solicitud `ACEPTADA` | no concede Consentimiento |
| `PausarAlcance` | `ACEPTADO → PAUSADO` | actor habilitado por 08 | decisión + motivo | bloquea operaciones incompatibles |
| `ReanudarAlcance` | `PAUSADO → ACEPTADO` | actor habilitado por 08 | decisión explícita | no restaura otros gates |
| `FinalizarAlcance` | `ACEPTADO → FINALIZADO` | actor habilitado por 08 | decisión explícita | preserva historia |
| `FinalizarAlcance` | `PAUSADO → FINALIZADO` | actor habilitado por 08 | decisión explícita | preserva pausa previa |

`FINALIZADO` no tiene salida.

**`REG-06-47` — Operación total explícita.** Pausa/finalización total aplica transiciones por cada Alcance elegible; nunca hay cascada implícita.

**`REG-06-48` — Reanudación no restaura gates externos.** Solo cambia el Vínculo por Alcance.","Una solicitud tiene exactamente un alcance; solo su aceptación crea/incorpora componente. El máximo 1 es derivación por solicitud aceptada, no límite de componentes del vínculo global.",ACTIVA,7.3;7.5
R014,DV-06_03,Vínculo — componente de alcance,Consentimiento vigente,1,0..N,asociación,"06 §7.7, L3125–L3180",DERIVACION_JUSTIFICADA,"### 7.7. Consentimiento vigente

Se identifica longitudinalmente por asesorado + profesional + Alcance de Vínculo + finalidad.

#### 7.7.1. Relación Vínculo / Consentimiento / finalidad / Alcance — `7.5-01`

El consentimiento aplicable referencia exactamente:

- asesorado titular;
- profesional;
- componente de Vínculo por Alcance;
- finalidad concreta;
- Versión de consentimiento.

La relación no convierte Vínculo en Consentimiento ni permite ampliar finalidad o Alcance por inferencia.

#### 7.7.2. Reconstrucción de qué consentimiento gobernaba una operación — `7.5-02`

`REG-06-50` se aplica además como regla de reconstrucción: la estructura permite que una operación protegida/auditada conserve o resuelva una referencia a la **Versión de Consentimiento que era aplicable** en su contexto.

B-03 define la relación versionada; 08 define qué operaciones deben registrar esa referencia, la política de autorización y la auditoría. Una versión posterior nunca reescribe cuál gobernaba una operación histórica.

#### 7.7.3. Asimetría entre revocación y finalización — `7.5-05`

La unidad queda saldada por la combinación de:

- `REG-06-51`: revocar corta operaciones futuras del Alcance, preserva historia y no finaliza el Vínculo;
- `REG-06-52`: pausar/finalizar Vínculo no crea Revocación implícita;
- `INV-06-63`: Revocación no finaliza automáticamente el Vínculo;
- `INV-06-64`: finalizar Vínculo no borra evidencia histórica de Consentimiento;
- B-06: historia por adición y no sobrescritura.

Esta asimetría es normativa y no se reduce a una coincidencia de implementación.

**`REG-06-50` — Consentimiento siempre versionado.** Cada decisión expresa emite nueva `Versión` de B-06, conserva versión/texto referenciado de 08, actor, Alcance, finalidad, ocurrencia/registro y procedencia. Aceptar una versión nunca acepta futuras.

#### 7.7.4. Situaciones

```text
VIGENTE
REVOCADO
```

#### 7.7.5. Transiciones

| Transición | Origen → destino | Actor | Efecto |
|---|---|---|---|
| `OtorgarConsentimiento` | inicio → `VIGENTE` | asesorado | primera Versión |
| `AceptarNuevaVersion` | `VIGENTE → VIGENTE` | asesorado | Versión sucesora explícita |
| `RevocarConsentimiento` | `VIGENTE → REVOCADO` | asesorado | Versión + evento de revocación |
| `OtorgarNuevamente` | `REVOCADO → VIGENTE` | asesorado | nueva decisión explícita cuando 08 lo permita |

**`REG-06-51` — Revocación corta futuras operaciones sin borrar historia.** No finaliza Vínculo ni otros Alcances; SLA/retención/lectura histórica son de 08.

**`REG-06-52` — Estado de Vínculo no muta consentimiento implícitamente.** Pausar/finalizar no crea Revocación automática.",Consentimiento se lee como trayectoria versionada por titular/profesional/componente/finalidad. Cada decisión genera nueva versión. No equivale a N consentimientos simultáneamente vigentes.,ACTIVA,7.7
R015,DV-06_03,Consentimiento vigente,Revocación,1,0..1,composición,"06 §7.7, L3125–L3180",DERIVACION_JUSTIFICADA,"### 7.7. Consentimiento vigente

Se identifica longitudinalmente por asesorado + profesional + Alcance de Vínculo + finalidad.

#### 7.7.1. Relación Vínculo / Consentimiento / finalidad / Alcance — `7.5-01`

El consentimiento aplicable referencia exactamente:

- asesorado titular;
- profesional;
- componente de Vínculo por Alcance;
- finalidad concreta;
- Versión de consentimiento.

La relación no convierte Vínculo en Consentimiento ni permite ampliar finalidad o Alcance por inferencia.

#### 7.7.2. Reconstrucción de qué consentimiento gobernaba una operación — `7.5-02`

`REG-06-50` se aplica además como regla de reconstrucción: la estructura permite que una operación protegida/auditada conserve o resuelva una referencia a la **Versión de Consentimiento que era aplicable** en su contexto.

B-03 define la relación versionada; 08 define qué operaciones deben registrar esa referencia, la política de autorización y la auditoría. Una versión posterior nunca reescribe cuál gobernaba una operación histórica.

#### 7.7.3. Asimetría entre revocación y finalización — `7.5-05`

La unidad queda saldada por la combinación de:

- `REG-06-51`: revocar corta operaciones futuras del Alcance, preserva historia y no finaliza el Vínculo;
- `REG-06-52`: pausar/finalizar Vínculo no crea Revocación implícita;
- `INV-06-63`: Revocación no finaliza automáticamente el Vínculo;
- `INV-06-64`: finalizar Vínculo no borra evidencia histórica de Consentimiento;
- B-06: historia por adición y no sobrescritura.

Esta asimetría es normativa y no se reduce a una coincidencia de implementación.

**`REG-06-50` — Consentimiento siempre versionado.** Cada decisión expresa emite nueva `Versión` de B-06, conserva versión/texto referenciado de 08, actor, Alcance, finalidad, ocurrencia/registro y procedencia. Aceptar una versión nunca acepta futuras.

#### 7.7.4. Situaciones

```text
VIGENTE
REVOCADO
```

#### 7.7.5. Transiciones

| Transición | Origen → destino | Actor | Efecto |
|---|---|---|---|
| `OtorgarConsentimiento` | inicio → `VIGENTE` | asesorado | primera Versión |
| `AceptarNuevaVersion` | `VIGENTE → VIGENTE` | asesorado | Versión sucesora explícita |
| `RevocarConsentimiento` | `VIGENTE → REVOCADO` | asesorado | Versión + evento de revocación |
| `OtorgarNuevamente` | `REVOCADO → VIGENTE` | asesorado | nueva decisión explícita cuando 08 lo permita |

**`REG-06-51` — Revocación corta futuras operaciones sin borrar historia.** No finaliza Vínculo ni otros Alcances; SLA/retención/lectura histórica son de 08.

**`REG-06-52` — Estado de Vínculo no muta consentimiento implícitamente.** Pausar/finalizar no crea Revocación automática.",Una revocación referencia la versión/otorgamiento que revoca. Máximo uno efectivo por esa versión; un nuevo otorgamiento permite una nueva revocación y conserva historia.,ACTIVA,7.7
R016,DV-06_03,Vínculo — componente de alcance,Alcance,0..N,1,asociación,"06 §7.5, L3089–L3118; 06 §6.5, L2770–L2779",DERIVACION_JUSTIFICADA,"### 7.5. Vínculo por Alcance

`Vínculo` agrupa `1..N` componentes de Alcance. Cada componente conserva Alcance, finalidad, Solicitud de origen, estado, actor/autoría, ocurrencia/registro, procedencia y motivo cuando aplique.

La máquina de T-06-15 opera por Alcance, evitando que un estado global oculte divergencias.

#### 7.5.1. Estados

```text
ACEPTADO
PAUSADO
FINALIZADO
```

#### 7.5.2. Lista blanca

| Transición | Origen → destino | Actor | Condición | Efecto |
|---|---|---|---|---|
| `AceptarAlcanceDeVinculo` | inicio → `ACEPTADO` | asesorado | Solicitud `ACEPTADA` | no concede Consentimiento |
| `PausarAlcance` | `ACEPTADO → PAUSADO` | actor habilitado por 08 | decisión + motivo | bloquea operaciones incompatibles |
| `ReanudarAlcance` | `PAUSADO → ACEPTADO` | actor habilitado por 08 | decisión explícita | no restaura otros gates |
| `FinalizarAlcance` | `ACEPTADO → FINALIZADO` | actor habilitado por 08 | decisión explícita | preserva historia |
| `FinalizarAlcance` | `PAUSADO → FINALIZADO` | actor habilitado por 08 | decisión explícita | preserva pausa previa |

`FINALIZADO` no tiene salida.

**`REG-06-47` — Operación total explícita.** Pausa/finalización total aplica transiciones por cada Alcance elegible; nunca hay cascada implícita.

**`REG-06-48` — Reanudación no restaura gates externos.** Solo cambia el Vínculo por Alcance.

### 6.5. Especialidad, capacidad y Alcance

Las Especialidades iniciales son exclusivamente Nutrición y Entrenamiento. Una Identidad puede declarar cero, una o ambas.

La `Capacidad antropométrica transversal` es independiente, puede existir con cero Especialidades y nunca se representa como tercera Especialidad.

**`REG-06-32` — Alcance disjunto.** Un `Alcance` referencia exactamente una Especialidad **o** la Capacidad antropométrica transversal, nunca ambas.

Cada Alcance se administra, evidencia, verifica, suspende y rehabilita por separado.",Cada componente declara un Alcance; el mismo tipo de alcance puede aparecer en múltiples componentes de diferentes vínculos. Se corrige el 1:1 global de v4.,ACTIVA,7.5;6.5
R017,DV-06_03,Alcance,Autorización contextual,,,dependencia,"06 §7.8, L3181–L3196",DEPENDENCIA_SIN_CARDINALIDAD,"### 7.8. Autorización contextual

B-03 fija exactamente los siete insumos de RF-021:

1. rol;
2. Especialidad o Capacidad aplicable;
3. situación aplicable;
4. Vínculo;
5. Consentimiento vigente;
6. finalidad;
7. Alcance.

**`REG-06-53` — Ninguna dimensión aislada autoriza.**

**`REG-06-54` — Ausencia estructural nunca se interpreta como permiso.** Si falta o es inconsistente una dimensión, B-03 no presume autorización. La política permitir/denegar y auditoría pertenecen a 08.",Alcance es uno de los siete insumos del PDP. Sin cardinalidad persistente ni autorización por sí solo.,ACTIVA,7.8
R018,DV-06_03,Consentimiento vigente,Autorización contextual,,,dependencia,"06 §7.8, L3181–L3196",DEPENDENCIA_SIN_CARDINALIDAD,"### 7.8. Autorización contextual

B-03 fija exactamente los siete insumos de RF-021:

1. rol;
2. Especialidad o Capacidad aplicable;
3. situación aplicable;
4. Vínculo;
5. Consentimiento vigente;
6. finalidad;
7. Alcance.

**`REG-06-53` — Ninguna dimensión aislada autoriza.**

**`REG-06-54` — Ausencia estructural nunca se interpreta como permiso.** Si falta o es inconsistente una dimensión, B-03 no presume autorización. La política permitir/denegar y auditoría pertenecen a 08.",Consentimiento vigente es un insumo de evaluación por operación; no sustituye los otros gates.,ACTIVA,7.8
R019,DV-06_04,Versión,Instantánea reproducible,1,,composición,"06 §4.6.4, L1393–L1400",DERIVACION_JUSTIFICADA,"#### 4.6.4. Cardinalidad común

Una Instantánea reproducible referencia **exactamente una Versión**.

Una Versión puede no requerir instantánea. Cuando el área propietaria la exige para un acto de emisión/activación, debe declarar su regla de unicidad y contexto. B-06 no inventa snapshots para toda entidad versionada.

---",Cada instantánea referencia exactamente una versión (expreso). El máximo de instantáneas por versión no está fijado globalmente: depende del área. Se retira 0..1 del extremo no sustentado.,ACTIVA,4.6.4
R020,DV-06_04,Versión,Corrección trazable,1,0..N,asociación,"06 §4.7.1, L1403–L1419",DERIVACION_JUSTIFICADA,"#### 4.7.1. Estructura conceptual mínima

Una `Corrección trazable` conserva:

| Elemento conceptual | Regla |
|---|---|
| Identificador | identidad propia de la corrección |
| Original | referencia obligatoria al registro histórico raíz |
| Corrección previa | referencia opcional a la corrección inmediatamente anterior |
| Contenido corregido | nueva afirmación/valor/condición según el área propietaria |
| Actor | quién ejecuta o registra la corrección |
| Autoría | responsabilidad atribuible a la corrección; no reasigna la del original |
| Momento de ocurrencia | cuándo ocurrió la rectificación |
| Momento de registro | cuándo BE la registró |
| Motivo | se conserva cuando la política aplicable lo exige |
| Procedencia | fuente/contexto de la rectificación |",Aplicable cuando el registro corregido es una versión del área. Cada corrección conserva su raíz; varias rectificaciones pueden sucederse. No obliga a que toda corrección del sistema tenga una Versión como raíz.,ACTIVA,4.7.1
R021,DV-06_04,Versión,Procedencia,,,dependencia,"06 §4.5.1, L1304–L1323",DEPENDENCIA_SIN_CARDINALIDAD,"#### 4.5.1. Estructura conceptual mínima

Una `Versión` conserva como mínimo:

| Elemento conceptual | Regla |
|---|---|
| Identificador | designa de forma estable esa versión concreta |
| Referencia al objeto versionado | identifica qué entidad o representación de dominio versiona |
| Ámbito | evita relacionar como sucesoras versiones de objetos o alcances diferentes |
| Referencia a predecesora | opcional; cero para la primera versión, como máximo una predecesora directa |
| Autoría | actor responsable del contenido o decisión versionada |
| Actor de la operación | actor que ejecutó/registró la emisión cuando sea distinto de la autoría |
| Momento de ocurrencia | cuándo ocurrió el hecho de emisión o presentación |
| Momento de registro | cuándo BE lo registró |
| Procedencia | de dónde proviene el contenido o evidencia |
| Contenido emitido | representación semántica que queda inmutable tras la emisión |
| Referencias de contexto | relaciones necesarias para reconstruir el sentido de esa versión |

No se fija cómo se almacena ninguno de estos elementos.","Procedencia es contenido obligatorio de Versión, no se deriva tabla ni cardinalidad adicional.",ACTIVA,4.5.1
