"fila","modelo_prisma","tabla_db","schema_linea","termino_T06_principal","terminos_T06_relacionados","naturaleza_06","clasificacion","conflicto","justificacion_y_evidencia"
"33","Musculo","musculos","schema.prisma:790","T-06-67 Zona muscular (06 L5049)","T-06-68 Vista anatómica de Zona (06 L5050) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","NO","Mismo concepto, distinto nombre (Zona muscular). Código estable y región, sin versión del catálogo ni Vista anatómica (T-06-68)."
"34","EjercicioMusculo","ejercicio_musculos","schema.prisma:806","T-06-69 Relación Ejercicio–Zona muscular (06 L5051)","T-06-70 Rol de implicación muscular (06 L5052)","ENTIDAD","PARCIAL","NO","Relación ejercicio–zona con rol PRIMARIO/SECUNDARIO (06: PRINCIPAL/SECUNDARIO, T-06-70) y `contribucion` numérica. Sin versión de la asociación."
"35","SerieEjercicio","series_ejercicio","schema.prisma:825","T-06-32 Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real (06 L225)","T-06-59 Criterio de intensidad (06 L5034) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Prescripción de ejercicio. Admite `rirObjetivo` y `cargaSugeridaKg` a la vez sin discriminador; INV-06-138 (L5495) exige exactamente UNO entre PORCENTAJE_RM o RIR por prescripción y se viola con ""dos simultáneos""."
"36","SetPrescrito","sets_prescritos","schema.prisma:874","T-06-32 Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real (06 L225)","T-06-59 Criterio de intensidad (06 L5034) [AUSENTE EN CÓDIGO]","ATRIBUTO","PARCIAL","SI","Desglose por set. Tiene `cargaObjetivoPct1RM`, `rirObjetivo` y `rpeObjetivo` simultáneos sin discriminador: contradice REG-06-128 (L5408) e INV-06-138."
"37","ObjetivoAsesorado","objetivos_asesorado","schema.prisma:918","T-06-27 Objetivo vigente (06 L220)","T-06-20 Versión (06 L213)","ENTIDAD","PARCIAL","NO","Objetivo con responsable (autorId), plazo y replanteo por reemplazo (`reemplazaAId`, ≈ versión sucesora T-06-20). Es genérico multi-dominio (el 06 lo ubica en M-07/M-08). Sin fundamento. Estados LOGRADO/ABANDONADO sin equivalente declarado."
"38","HitoObjetivo","hitos_objetivo","schema.prisma:957","—","","ENTIDAD","AUSENTE_EN_06","NO","Hitos ponderados de un objetivo. El 06 no tiene hitos (0 coincidencias)."
"39","RevisionObjetivo","revisiones_objetivo","schema.prisma:975","T-06-37 Revisión profesional válida (06 L230)","T-06-38 Resultado semántico de revisión (06 L231) [AUSENTE EN CÓDIGO] | T-06-39 Próxima acción (06 L232) [AUSENTE EN CÓDIGO]","ENTIDAD","PARCIAL","SI","Revisión con `progresoSnapshot` (%) y `enRumbo` (booleano). La Revisión profesional válida del 06 usa una taxonomía cerrada de seis resultados donde ""ningún dominio crea valores paralelos"" (T-06-38) y exige próxima acción (T-06-39). La escritura se autoriza también al asesorado sobre su propio dominio, pero la revisión del 06 es profesional."
"40","NotaCoordinacion","notas_coordinacion","schema.prisma:993","T-06-43 Nota de coordinación autorizada (06 L236)","","ENTIDAD","PARCIAL","NO","Mismo concepto; faltan atributos: alcance y pertinencia. Hoy no tiene endpoints."
"41","NotaMencion","nota_menciones","schema.prisma:1007","T-06-43 Nota de coordinación autorizada (06 L236)","","ATRIBUTO","PARCIAL","NO","Destinatarios de la nota con marca de lectura."
"42","Consentimiento","consentimientos","schema.prisma:1020","T-06-17 Consentimiento vigente (06 L210)","T-06-18 Revocación de consentimiento (06 L211)","ENTIDAD","PARCIAL","SI","Clave: cuenta + tipo (TERMINOS|DATOS_SALUD|COMPARTIR_EQUIPO) + versionTexto en texto. 06 §7.7.1 (L3126) exige referenciar asesorado, profesional, componente de Vínculo por Alcance, finalidad y Versión de consentimiento. Se otorga DATOS_SALUD al activar la cuenta (auth.service.ts:36), contra INV-06-53 ""Aceptación ≠ Consentimiento ≠ Autorización"". `revocadoEn` existe pero ningún código lo usa."
"43","Invitacion","invitaciones","schema.prisma:1033","T-06-16 Solicitud de vínculo (06 L209)","","ENTIDAD","PARCIAL","SI","Invitación con `asignacionId` ""vínculo resultante"" y estados PENDIENTE/USADA/EXPIRADA/REVOCADA. 06 §7.4 (L3039) y REG-06-46 (L3084): asociar una invitación NO acepta ni crea Vínculo; la Solicitud usa PENDIENTE/ACEPTADA/RECHAZADA/CADUCADA/INVALIDADA. Modelo sin uso en `src/` (0 referencias). El comentario menciona @nestjs/throttler, que no está instalado."
"44","TokenActivacion","tokens_activacion","schema.prisma:1058","—","T-06-03 Método de acceso (06 L196)","ENTIDAD","AUSENTE_EN_06","NO","Token de alta híbrida (hash SHA-256, un uso). El 06 no tiene alta híbrida; los mecanismos de credenciales se derivan a 08/09 (frontera de T-06-03)."
"45","AuditoriaAcceso","auditoria_accesos","schema.prisma:1074","—","T-06-19 Autorización contextual (06 L212)","ENTIDAD","AUSENTE_EN_06","NO","Registro de acceso profesional→asesorado. El 06 deriva el ""registro de acceso"" a 08 (frontera de T-06-19, L212): no es término de dominio."
"46","","","","T-06-05 Cierre de cuenta (06 L198)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","No hay cierre de cuenta: solo `Cuenta.deletedAt`/`activo`, sin transición ni efectos sobre sesiones/procesos/vínculos."
"47","","","","T-06-06 Incidencia administrativa (06 L199)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin incidencias administrativas."
"48","","","","T-06-07 Novedad interna (06 L200)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin novedades internas."
"49","","","","T-06-08 Notificación push no sensible (06 L201)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin notificaciones push."
"50","","","","T-06-10 Capacidad antropométrica transversal (06 L203)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","La capacidad antropométrica no está modelada; hoy la antropometría se autoriza por la matriz especialidad×dominio."
"51","","","","T-06-12 Observación / subsanación (06 L205)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin presentaciones de verificación ni subsanación."
"52","","","","T-06-14 Capacidad configurada (06 L207)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin capacidad configurada (bandas/límites de ocupación)."
"53","","","","T-06-23 Procedencia (06 L216)","","PATRON","AUSENTE_EN_CODIGO","NO","Sin estructura común de procedencia. Fragmentos aislados: `MedicionBiometrica.fuente`, `Comida.comidaPlantillaId`, `Alimento.creadoPorCuentaId`."
"54","","","","T-06-25 Proceso (operativo abierto / vigente / nuevo) (06 L218)","","PATRON","AUSENTE_EN_CODIGO","NO","Sin entidad ni semántica de Proceso."
"55","","","","T-06-35 Evolución antropométrica (06 L228)","","PROYECCION","AUSENTE_EN_CODIGO","NO","Proyección: no se espera tabla. Aproximación: GET /api/v1/eventos-salud/series (mezcla biometría)."
"56","","","","T-06-36 Servicio antropométrico limitado · Ubicación utilizable (06 L229)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin servicio antropométrico publicado. Fragmentos: `Profesional.ubicacion`/`modalidad` en texto libre."
"57","","","","T-06-38 Resultado semántico de revisión (06 L231)","","TAXONOMIA","AUSENTE_EN_CODIGO","NO","Sin taxonomía cerrada de resultados de revisión."
"58","","","","T-06-39 Próxima acción (06 L232)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin próxima acción estructurada."
"59","","","","T-06-40 Ciclo cerrado trazable (06 L233)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin ciclo cerrado trazable."
"60","","","","T-06-41 Revisión pendiente (06 L234)","","PROYECCION","AUSENTE_EN_CODIGO","NO","Proyección: sin cálculo de revisión pendiente."
"61","","","","T-06-44 TVCC-30 (06 L237)","","PROYECCION","AUSENTE_EN_CODIGO","NO","Proyección analítica: sin TVCC-30."
"62","","","","T-06-46 Progresión de entrenamiento (06 L239)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin progresión de entrenamiento (AJUSTAR/SUSTITUIR)."
"63","","","","T-06-47 Día tipo (06 L4144)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Nivel obligatorio de la jerarquía nutricional (REG-06-118) inexistente: los slots cuelgan del plan."
"64","","","","T-06-51 Grupo de intercambio (06 L4148)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin grupos de intercambio (modalidad B)."
"65","","","","T-06-52 Nutriente crítico (06 L4149)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin nutrientes críticos."
"66","","","","T-06-53 Estado de preparación (06 L4150)","","ATRIBUTO","AUSENTE_EN_CODIGO","NO","Sin estado de preparación en ítems prescriptos."
"67","","","","T-06-55 Atributo nutricional extendido (06 L4152)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin atributos nutricionales extendidos con procedencia y versión."
"68","","","","T-06-56 Modalidad de prescripción y registro nutricional (06 L4153)","","DISCRIMINADOR","AUSENTE_EN_CODIGO","NO","Sin discriminador de modalidad A/B/C (DEC-046)."
"69","","","","T-06-57 Microciclo (06 L5032)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin microciclo."
"70","","","","T-06-58 Propósito de bloque o microciclo (06 L5033)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin propósito de bloque/microciclo."
"71","","","","T-06-59 Criterio de intensidad (06 L5034)","","DISCRIMINADOR","AUSENTE_EN_CODIGO","NO","Sin discriminador PORCENTAJE_RM|RIR; existen campos sueltos de RIR, %1RM, RPE y carga (ver SerieEjercicio/SetPrescrito)."
"72","","","","T-06-62 Granularidad de registro de entrenamiento (06 L5037)","","DISCRIMINADOR","AUSENTE_EN_CODIGO","NO","Granularidad implícita (sesión en RegistroAdherencia, serie en SerieRealizada) sin discriminador declarado."
"73","","","","T-06-64 Recurso didáctico de catálogo (06 L4170)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin recursos didácticos de catálogo."
"74","","","","T-06-65 Evidencia visual de ingesta (06 L4171)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin evidencia visual de ingesta (FotoProgreso es foto corporal, otro concepto)."
"75","","","","T-06-66 Atlas de referencia de porciones (06 L4172)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin atlas de porciones."
"76","","","","T-06-68 Vista anatómica de Zona (06 L5050)","","ENTIDAD","AUSENTE_EN_CODIGO","NO","Sin vista anatómica (`Musculo.region` es agrupación, no vista anterior/posterior)."
