"seccion","id_o_metodo","ruta_09_o_codigo","titulo_o_handler","prioridad_09","clasificacion","contraparte","nota","evidencia"
"A_OPERACION_09","API-DSH-01","GET /api/v1/me/caseload?limit=&cursor=&scope=&processState=&reviewPending=","Cartera profesional","P0","PARCIAL","GET /api/v1/asesorados [PARCIAL]","Cartera del profesional sin cursor ni filtros.","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L800"
"A_OPERACION_09","API-DSH-02","GET /api/v1/me/review-queue?limit=&cursor=&domain=&status=","Cola de revisiones","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L860"
"A_OPERACION_09","API-DSH-03","GET /api/v1/advisees/{adviseeId}/dashboard?periodStart=&periodEnd=","Dashboard interdisciplinario","P0","PARCIAL","GET /api/v1/eventos-salud/resumen [PARCIAL]","Resumen por área ≈ dashboard.","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L895"
"A_OPERACION_09","API-DSH-04","GET /api/v1/advisees/{adviseeId}/timeline?limit=&cursor=&domain=&type=&periodStart=&periodEnd=","Timeline longitudinal","P0","PARCIAL","GET /api/v1/eventos-salud [PARCIAL]","Timeline con paginación offset (el 09 usa cursor).","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L964"
"A_OPERACION_09","API-DSH-05","GET /api/v1/me/progress?domain=&projection=&periodStart=&periodEnd=","Progreso longitudinal propio","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L1014"
"A_OPERACION_09","API-EXP-01","POST /api/v1/me/exports","Solicitar export propio","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L672"
"A_OPERACION_09","API-EXP-02","GET /api/v1/me/exports/{exportId}","Estado/descarga","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L702"
"A_OPERACION_09","API-INT-NUT-01","POST /api/v1/nutrition/catalog-items","Crear elemento manual del catálogo BE","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L111"
"A_OPERACION_09","API-INT-NUT-02","POST /api/v1/nutrition/catalog-import-candidates","Crear candidato desde proveedor","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L168"
"A_OPERACION_09","API-INT-NUT-03","POST /api/v1/nutrition/catalog-import-candidates/{candidateId}/resolve","Resolver candidato","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L238"
"A_OPERACION_09","API-INT-TRN-01","POST /api/v1/training/exercises","Crear ejercicio manual","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L310"
"A_OPERACION_09","API-INT-TRN-02","POST /api/v1/training/catalog-import-candidates","Crear candidato desde wger","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L351"
"A_OPERACION_09","API-INT-TRN-03","POST /api/v1/training/catalog-import-candidates/{candidateId}/resolve","Resolver candidato","P0","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L383"
"A_OPERACION_09","API-NUT-01","POST /api/v1/advisees/{adviseeId}/nutrition/evaluations","Crear evaluación nutricional","P0","CONTRADICE","PUT /api/v1/nutricion/asesorados/:asesoradoId/perfil [CONTRADICE]","Upsert que sobrescribe; NUT-01 crea una evaluación nueva e inmutable.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L325"
"A_OPERACION_09","API-NUT-02","GET /api/v1/advisees/{adviseeId}/nutrition/evaluations?limit=&cursor=","Listar evaluaciones","P0","PARCIAL","GET /api/v1/nutricion/asesorados/:asesoradoId/perfil [PARCIAL]","Perfil nutricional único, sin historia de evaluaciones.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L381"
"A_OPERACION_09","API-NUT-03","GET /api/v1/nutrition/evaluations/{evaluationId}","Consultar evaluación","P0","PARCIAL","GET /api/v1/nutricion/asesorados/:asesoradoId/perfil [PARCIAL]","Perfil nutricional único, sin historia de evaluaciones.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L391"
"A_OPERACION_09","API-NUT-04","POST /api/v1/advisees/{adviseeId}/nutrition/objectives","Crear nueva versión de objetivo","P0","PARCIAL","POST /api/v1/objetivos [PARCIAL] | POST /api/v1/objetivos/:id/replantear [PARCIAL]","Objetivos genéricos multi-dominio. / Nueva versión por reemplazo (reemplazaAId), genérica.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L405"
"A_OPERACION_09","API-NUT-05","GET /api/v1/advisees/{adviseeId}/nutrition/objectives?limit=&cursor=","Historia de objetivos","P0","PARCIAL","GET /api/v1/objetivos [PARCIAL]","Objetivos genéricos multi-dominio.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L448"
"A_OPERACION_09","API-NUT-06","GET /api/v1/advisees/{adviseeId}/nutrition/objectives/effective","Objetivo efectivo","P0","PARCIAL","GET /api/v1/objetivos/:id [PARCIAL]","Consulta de un objetivo (no ""efectivo"").","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L456"
"A_OPERACION_09","API-NUT-07","POST /api/v1/advisees/{adviseeId}/nutrition/plans","Crear borrador de plan","P0","EQUIVALENTE_FUNCIONAL","POST /api/v1/nutricion/asesorados/:asesoradoId/borradores [EQUIVALENTE_FUNCIONAL] | POST /api/v1/nutricion/planes [PARCIAL]","Crear borrador de plan. / Ruta legada superada por borradores; sin consumidor web.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L476"
"A_OPERACION_09","API-NUT-08","GET /api/v1/advisees/{adviseeId}/nutrition/plans?limit=&cursor=&state=","Listar planes","P0","PARCIAL","GET /api/v1/nutricion/asesorados/:asesoradoId/borrador [PARCIAL]","Devuelve solo el último borrador.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L503"
"A_OPERACION_09","API-NUT-09","GET /api/v1/nutrition/plans/{planId}","Consultar plan","P0","PARCIAL","GET /api/v1/nutricion/planes/:eventoId/resumen [PARCIAL]","Resumen por eventoId (sale del snapshot si está activado).","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L513"
"A_OPERACION_09","API-NUT-10","PATCH /api/v1/nutrition/plans/{planId}","Editar borrador","P0","EQUIVALENTE_FUNCIONAL","PATCH /api/v1/nutricion/borradores/:planId [EQUIVALENTE_FUNCIONAL]","Editar borrador con lock optimista (expectedUpdatedAt).","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L523"
"A_OPERACION_09","API-NUT-11","POST /api/v1/nutrition/plans/{planId}/validate","Validar borrador","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L566"
"A_OPERACION_09","API-NUT-12","POST /api/v1/nutrition/plans/{planId}/activate","Activar plan","P0","PARCIAL","POST /api/v1/nutricion/borradores/:planId/activar [PARCIAL]","Activa con snapshot; sin paso de validación (NUT-11) ni sucesión de versiones.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L601"
"A_OPERACION_09","API-NUT-13","GET /api/v1/nutrition/catalog-items?limit=&cursor=&q=&type=","Catálogo","P0","PARCIAL","GET /api/v1/nutricion/alimentos [PARCIAL]","take:100 sin cursor.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L648"
"A_OPERACION_09","API-NUT-14","GET /api/v1/me/nutrition/today","“Hoy” nutricional","P0","PARCIAL","GET /api/v1/nutricion/asesorados/:asesoradoId/hoy [PARCIAL]","El 09 lo expone como /me; el código recibe asesoradoId.","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L658"
"A_OPERACION_09","API-NUT-15","POST /api/v1/me/nutrition/executions","Registrar ingesta/ejecución","P0","CONTRADICE","POST /api/v1/nutricion/adherencia [CONTRADICE] | POST /api/v1/nutricion/consumo [PARCIAL]","Persiste `porcentaje` 0-100; el 09 (CAND-09-NUT-C, derivada del canon) prohíbe adherencePercent en P0. / Ingesta cuantificada; no acepta descripción libre sin alimentos (modalidad C P0).","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L684"
"A_OPERACION_09","API-NUT-16","GET /api/v1/nutrition/executions/{executionId}","Consultar ejecución","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L750"
"A_OPERACION_09","API-NUT-17","GET /api/v1/advisees/{adviseeId}/nutrition/review-context?periodStart=&periodEnd=","Contexto de revisión","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L793"
"A_OPERACION_09","API-NUT-18","POST /api/v1/advisees/{adviseeId}/nutrition/reviews","Registrar revisión profesional válida","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L842"
"A_OPERACION_09","API-NUT-19","GET /api/v1/nutrition/reviews/{reviewId}","Consultar revisión","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L904"
"A_OPERACION_09","API-NUT-20","POST /api/v1/nutrition/reviews/{reviewId}/apply","Aplicar continuidad o cierre","P0","NO_EXISTE","","","BE_LEG_09_v0.9_CONTRATOS_P0_NUTRICION L914"
"A_OPERACION_09","API-NUT-21","POST /api/v1/nutrition/executions/{executionId}/corrections","Estructurar ingesta libre como estimación trazable","P0","NO_EXISTE","","","BE_LEG_09_v0.15_CONSOLIDADO_CANDIDATO_CIERRE L628"
"A_OPERACION_09","API-PRJ-01","GET /api/v1/advisees/{adviseeId}/projections/{projectionKey}?periodStart=&periodEnd=&exerciseId=&zoneId=&metric=","Consultar proyección profunda","P0","PARCIAL","GET /api/v1/entrenamiento/analitica/fuerza [PARCIAL] | GET /api/v1/entrenamiento/analitica/volumen-real [PARCIAL] | GET /api/v1/eventos-salud/series [PARCIAL]","≈ TRAINING_PROGRESSION_BY_EXERCISE / TRAINING_PERSONAL_RECORDS. / ≈ TRAINING_VOLUME_BY_MUSCLE_ZONE / TRAINING_EFFECTIVE_VS_TOTAL_VOLUME. / Serie por métrica; mezcla biometría.","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L1080"
"A_OPERACION_09","API-PRJ-02","GET /api/v1/me/training/projection-settings","Consultar configuración propia","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L1290"
"A_OPERACION_09","API-PRJ-03","PATCH /api/v1/me/training/projection-settings","Actualizar configuración","P0","NO_EXISTE","","","BE_LEG_09_v0.11_CONTRATOS_P0_ANTROPOMETRIA_Y_PROYECCIONES L1317"
"A_OPERACION_09","API-PRO-01","GET /api/v1/me/professional-profile","Consultar perfil profesional propio","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L560"
"A_OPERACION_09","API-PRO-02","PATCH /api/v1/me/professional-profile","Editar perfil profesional","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L599"
"A_OPERACION_09","API-PRO-03","PUT /api/v1/me/professional-scopes","Declarar/actualizar scopes profesionales","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L644"
"A_OPERACION_09","API-PRO-04","POST /api/v1/me/verification-evidence/upload-intents","Crear intención segura de upload de evidencia","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L696"
"A_OPERACION_09","API-PRO-05","POST /api/v1/me/verification-submissions","Crear nueva presentación versionada","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L762"
"A_OPERACION_09","API-PRO-06","GET /api/v1/me/verification-submissions?limit=&cursor=&scope=","Listar propias presentaciones","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L827"
"A_OPERACION_09","API-PRO-07","GET /api/v1/me/verification-submissions/{submissionId}","Consultar presentación propia","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L860"
"A_OPERACION_09","API-PRO-08","POST /api/v1/me/verification-submissions/{submissionId}/submit","Presentar versión a revisión","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L885"
"A_OPERACION_09","API-PRO-09","GET /api/v1/admin/verification-submissions?limit=&cursor=&scope=&state=","Listar presentaciones a revisar","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L930"
"A_OPERACION_09","API-PRO-10","GET /api/v1/admin/verification-submissions/{submissionId}","Consultar detalle administrativo de presentación","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L954"
"A_OPERACION_09","API-PRO-11","POST /api/v1/admin/verification-submissions/{submissionId}/resolve","Resolver revisión","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L980"
"A_OPERACION_09","API-PRO-12","POST /api/v1/admin/professional-scopes/{professionalScopeId}/suspend","Suspender scope profesional","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1047"
"A_OPERACION_09","API-PRO-13","POST /api/v1/admin/professional-scopes/{professionalScopeId}/reinstate","Rehabilitar scope profesional","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1082"
"A_OPERACION_09","API-REL-01","POST /api/v1/relationship-requests","Crear solicitud/invitación","P0","CONTRADICE","POST /api/v1/asesorados [CONTRADICE]","Crea cuenta pre-activada y vínculo ACTIVO sin aceptación del asesorado (asesorados.service.ts:126). En el 09/06 el profesional solicita, el asesorado acepta y el vínculo no concede consentimiento.","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1108"
"A_OPERACION_09","API-REL-02","GET /api/v1/me/relationship-requests?limit=&cursor=&state=","Listar solicitudes propias","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1196"
"A_OPERACION_09","API-REL-03","POST /api/v1/relationship-requests/{requestId}/accept","Aceptar solicitud","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1228"
"A_OPERACION_09","API-REL-04","POST /api/v1/relationship-requests/{requestId}/reject","Rechazar solicitud","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1294"
"A_OPERACION_09","API-REL-05","GET /api/v1/me/relationships?limit=&cursor=&state=&scope=","Listar vínculos propios","P0","PARCIAL","GET /api/v1/asignaciones [PARCIAL]","Solo vista del profesional (@Roles PROFESIONAL).","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1325"
"A_OPERACION_09","API-REL-06","GET /api/v1/relationships/{relationshipId}","Consultar vínculo propio","P0","NO_EXISTE","","","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1373"
"A_OPERACION_09","API-REL-07","POST /api/v1/relationships/{relationshipId}/pause","Pausar vínculo","P0","EQUIVALENTE_FUNCIONAL","POST /api/v1/asignaciones/:id/pausar [EQUIVALENTE_FUNCIONAL]","Misma acción, otra ruta. Pausa el vínculo completo, no un alcance.","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1395"
"A_OPERACION_09","API-REL-08","POST /api/v1/relationships/{relationshipId}/resume","Reanudar vínculo","P0","EQUIVALENTE_FUNCIONAL","POST /api/v1/asignaciones/:id/reanudar [EQUIVALENTE_FUNCIONAL]","Misma acción, otra ruta.","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1436"
"A_OPERACION_09","API-REL-09","POST /api/v1/relationships/{relationshipId}/finalize","Finalizar vínculo","P0","EQUIVALENTE_FUNCIONAL","POST /api/v1/asignaciones/:id/finalizar [EQUIVALENTE_FUNCIONAL]","Misma acción, otra ruta. Repetir sobre FINALIZADO da 422 (no idempotente).","BE_LEG_09_v0.8_CONTRATOS_ACCESO_GOBIERNO_P0 L1472"
"A_OPERACION_09","API-RGT-01","POST /api/v1/me/data-rights-requests","Crear solicitud","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L633"
"A_OPERACION_09","API-RGT-02","GET /api/v1/me/data-rights-requests/{requestId}","Consultar solicitud","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L656"
"A_OPERACION_09","API-RGT-03","GET /api/v1/me/data-rights-requests?limit=&cursor=","Listar propias solicitudes","P1/soporte","NO_EXISTE","","","BE_LEG_09_v0.12_INTEGRACIONES_P0_Y_SOPORTE_P1_P2 L662"
"A_OPERACION_09","API-TRN-01","POST /api/v1/advisees/{adviseeId}/training/evaluations","Crear evaluación","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L520"
"A_OPERACION_09","API-TRN-02","GET /api/v1/advisees/{adviseeId}/training/evaluations?limit=&cursor=","Listar evaluaciones","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L574"
"A_OPERACION_09","API-TRN-03","GET /api/v1/training/evaluations/{evaluationId}","Consultar evaluación","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L584"
"A_OPERACION_09","API-TRN-04","POST /api/v1/advisees/{adviseeId}/training/objectives","Crear versión de objetivo","P0","PARCIAL","POST /api/v1/objetivos [PARCIAL] | POST /api/v1/objetivos/:id/replantear [PARCIAL]","Objetivos genéricos multi-dominio. / Nueva versión por reemplazo (reemplazaAId), genérica.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L598"
"A_OPERACION_09","API-TRN-05","GET /api/v1/advisees/{adviseeId}/training/objectives?limit=&cursor=","Historia de objetivos","P0","PARCIAL","GET /api/v1/objetivos [PARCIAL]","Objetivos genéricos multi-dominio.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L632"
"A_OPERACION_09","API-TRN-06","GET /api/v1/advisees/{adviseeId}/training/objectives/effective","Objetivo efectivo","P0","PARCIAL","GET /api/v1/objetivos/:id [PARCIAL]","Consulta de un objetivo (no ""efectivo"").","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L642"
"A_OPERACION_09","API-TRN-07","POST /api/v1/advisees/{adviseeId}/training/plans","Crear borrador de plan","P0","CONTRADICE","POST /api/v1/entrenamiento/planes [CONTRADICE]","El cliente puede fijar `estado` (incluso ACTIVO) al crear: no hay borrador → validar → activar ni snapshot.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L662"
"A_OPERACION_09","API-TRN-08","GET /api/v1/advisees/{adviseeId}/training/plans?limit=&cursor=&state=","Listar planes","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L690"
"A_OPERACION_09","API-TRN-09","GET /api/v1/training/plans/{planId}","Consultar plan","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L700"
"A_OPERACION_09","API-TRN-10","PATCH /api/v1/training/plans/{planId}","Editar borrador","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L710"
"A_OPERACION_09","API-TRN-11","POST /api/v1/training/plans/{planId}/validate","Validar borrador","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L758"
"A_OPERACION_09","API-TRN-12","POST /api/v1/training/plans/{planId}/activate","Activar plan","P0","CONTRADICE","POST /api/v1/entrenamiento/planes [CONTRADICE]","El cliente puede fijar `estado` (incluso ACTIVO) al crear: no hay borrador → validar → activar ni snapshot.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L788"
"A_OPERACION_09","API-TRN-13","GET /api/v1/training/exercises?limit=&cursor=&q=","Consultar catálogo","P0","PARCIAL","GET /api/v1/entrenamiento/ejercicios [PARCIAL]","take:100 sin cursor.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L838"
"A_OPERACION_09","API-TRN-14","GET /api/v1/me/training/today","Hoy de entrenamiento","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L860"
"A_OPERACION_09","API-TRN-15","PUT /api/v1/training/occurrences/{occurrenceId}/execution-draft","Crear/obtener borrador singular de ocurrencia","P0","CONTRADICE","POST /api/v1/entrenamiento/adherencia [CONTRADICE]","Registra estado de sesión y series sin borrador ni confirmación, y persiste `porcentaje` (SALTEADA→0, COMPLETADA→100); T-06-30 exige registro sin fórmulas de puntuación.","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L921"
"A_OPERACION_09","API-TRN-16","GET /api/v1/training/execution-drafts/{draftId}","Consultar borrador","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L969"
"A_OPERACION_09","API-TRN-17","PATCH /api/v1/training/execution-drafts/{draftId}","Editar borrador de ejecución","P0","NO_EXISTE","","","BE_LEG_09_v0.10_CONTRATOS_P0_ENTRENAMIENTO L986"
