ID,RF,UC,Canal,Prioridad,Nivel,Escenario 11A,Precondiciones,Pasos,Datos de prueba (sintéticos),Resultado esperado (oráculo),Fuente propietaria,Estado,Evidencia
TEST-RF-032,RF-032,UC-P12,Apk,P0,E2E,— (TEST-RF: escenario definido por el RF),"APK de test; A01 con A3 y plan nutricional activado, A02 con A3 y sin plan; sesiones propias independientes.","1. Entrar a Hoy desde el menú con A01 y abrir Nutrición. 2. Verificar que muestra PN1-v1, no el borrador v2. 3. Entrar con A02: estado explícito sin plan, no error ambiguo ni plan ajeno. 4. Inspeccionar respuesta/captura: sin evidencia de verificación profesional, gestión de capacidad u otros datos administrativos no autorizados.",PN1-v1 activada con D1/C1/O1/I1; PN1-v2 BORRADOR con cantidad distinta; día de test T0. A02 no tiene plan activo ni relación con PN1.,La vista muestra la versión vigente y un estado claro cuando no existe plan; es accesible sin conocer rutas internas; no expone datos administrativos.,`UC-P12` · `DEC-014`,NOT_EXECUTED,— (11B)
TEST-RF-034,RF-034,UC-P13,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),PN autorizado para revisar Nutrición de A01; plan y ejecuciones sintéticos para período T0 a T0+2 días.,"1. Abrir y filtrar evidencia del período. 2. Contrastar prescrito y registrado, manteniendo día 3 como SIN_DATO y día 2 como descriptivo. 3. Consultar el conteo de revisiones: sigue 0 después de solo visualizar. 4. Navegar al registro común de revisión conservando período y referencias de evidencia; no confirmar en esta variante. 5. Verificar ausencia de score o evaluación automática de adherencia.",Día 1: prescripción I1 100 g y registro 80 g; día 2: registro descriptivo DEMO-INGESTA; día 3: ningún registro. Cero revisiones válidas iniciales para el período.,"El profesional puede identificar el período y la evidencia relevante, comparar lo planificado con lo ejecutado y pasar al registro común de revisión de RF-056; abrir la pantalla no cuenta como revisión.",`UC-P13` · `REG-06-75`,NOT_EXECUTED,— (11B)
TEST-RF-036,RF-036,UC-P14,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),PT autorizado para evaluación de Entrenamiento de A01; PN sin ese alcance. Todos los datos son fixtures.,"1. PT registra ET1 con contexto, autoría y procedencias. 2. Consultar ET1 en la historia autorizada y verificar que sigue siendo evaluación, no ejecución. 3. Confirmar conteo de ejecuciones sin incremento. 4. PN intenta consultar ET1 sin alcance Entrenamiento: denegado sin exposición de contenido.","ET1 con antecedente autoinformado DEMO-EXPERIENCIA y observación DEMO-OBS-T, fecha T0. No hay sesiones ejecutadas. PT y PN usan sesiones separadas.",La evaluación es consultable en la historia y se distingue de la ejecución posterior; solo acceden actores autorizados.,BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-041,RF-041,UC-I04 UC-I10 UC-P16,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),PT/A01 autorizado; ET1 y objetivo OT1; borrador de plan válido. Capacidad configurada en rama separada para el caso de rechazo.,"1. Activar v1 y verificar la versión consultada por A01. 2. Sustituir mediante el recorrido permitido por v2 y comprobar sucesión explícita, única vigencia y snapshot v1 preservado. 3. En rama con capacidad agotada activar un proceso nuevo: rechazo sin interrumpir el de A02. 4. Inspeccionar relaciones versión/objetivo/evaluación y evidencia de rechazo sin persistencia parcial.","PT1-v1: Bloque B1, Sesión S1, Ejercicio EX1, 3 series de 8 repeticiones, criterio RIR=2. PT1-v2 cambia repeticiones a 10; no añade criterio de intensidad. Rama negativa: límite 1 ocupado por A02, nuevo proceso A01.","El asesorado consulta la versión activada; no existen vigencias contradictorias; una sustitución queda relacionada con la anterior; la activación de un proceso nuevo se rechaza cuando excede la capacidad configurada en RF-066, sin interrumpir procesos vigentes.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-042,RF-042,UC-P17,Apk,P0,E2E,— (TEST-RF: escenario definido por el RF),APK de test y A01 con plan de Entrenamiento vigente; reloj de test controlado.,"1. Desde Hoy consultar D0: ausencia explícita de sesión. 2. Consultar D1: sesión pendiente de registro, no NO_REALIZADA inferida. 3. Consultar D2: ejecución registrada distinguible de lo planificado. 4. Verificar que no se muestra v2 como activa ni se requiere escribir una ruta interna.","Día D0 sin sesión; D1 con S1 planificada sin registro; D2 con S2 y ejecución REGISTRADA, condición REALIZADA. Borrador futuro v2 con contenido distinto al activo.","La pantalla distingue ausencia de sesión, sesión pendiente y ejecución registrada; no requiere rutas internas; solo muestra datos autorizados.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-047,RF-047,UC-P19,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),"PA con capacidad antropométrica verificada y habilitada; A01 con A3, vínculo y B2 antropométrico; protocolo técnico de fixture identificado.","1. Registrar EA1 por el recorrido canónico y consultarla en la historia. 2. Verificar que M1/M2 son directas y CD1 es derivado, con unidad y procedencia. 3. En cada rama negativa intentar registrar una evaluación nueva: rechazo sin incorporar evaluación efectiva parcial. 4. Confirmar que la operación no abre un plan nutricional o de entrenamiento.","Evaluación EA1 con masa M1=72.5 kg, talla M2=175 cm y cálculo derivado CD1 separado, fecha T0, procedencia DIRECT_MEASUREMENT para M1/M2. Ramas negativas: capacidad suspendida y B2 revocado por separado.","Las mediciones quedan diferenciadas de cálculos; se valida la capacidad, vínculo y consentimiento; la evaluación integra la historia autorizada.",BE-LEG-11A §7,NOT_EXECUTED,— (11B)
TEST-RF-048,RF-048,UC-E03 UC-I09 UC-P19,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),PA autorizado; EA1 y medición directa M1 revelable; MET-DEMO v1 disponible solo como método técnico de test.,"1. Ejecutar v1 sobre M1 y guardar identificador, entradas, método y resultado. 2. Hacer seleccionable v2 en el fixture sin alterar v1. 3. Reproducir la corrida histórica usando exactamente v1 y sus entradas: mismo resultado. 4. Verificar que no se recalculó el pasado con v2 y que salida/UI identifican método y profesional, sin diagnóstico ni atribución causal.","M1=72.5 kg y MET-DEMO v1 con resultado esperado técnico 72.5 kg. V2 del mismo método de fixture produce un resultado deliberadamente distinto; V1 no cambia. Snapshots con autor, entrada, precisión y versión.",Un resultado histórico puede reproducirse; el método y responsable son identificables; no se presenta como diagnóstico ni causalidad.,`UC-I09` · `T-06-34`,NOT_EXECUTED,— (11B)
TEST-RF-049,RF-049,UC-P20,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),PA/A01 autorizado; tres evaluaciones registradas y una métrica de masa compatible por protocolo/unidad.,"1. Consultar evolución para EA1 y EA2: identificar diferencia descriptiva 0.5 kg y fuentes. 2. Incluir EA3: explicitar incompatibilidad o separar series, nunca fabricar una equivalencia. 3. Incluir fecha sin registro: SIN_DATO, no 0 kg. 4. Intentar el mismo request con actor no autorizado: denegar. 5. Verificar que la vista no produce score global de salud.",EA1/T0: masa 72.5 kg; EA2/T0+7d: masa 73.0 kg mismo protocolo; EA3/T0+14d: resultado de otra métrica o método sin compatibilidad demostrada. Una cuarta fecha carece de medición.,La comparación usa mediciones compatibles o explicita diferencias; el acceso respeta alcance; no produce un score global de salud.,`UC-P20` · `INV-06-176`,NOT_EXECUTED,— (11B)
TEST-RF-050,RF-050,UC-E03 UC-I03 UC-I09 UC-I12,Website,P0,E2E,— (TEST-RF: escenario definido por el RF),PA autorizado para corregir EA1; M1 registrada y CD1 dependiente identificable. Cadena histórica inicialmente sin correcciones.,"1. Capturar M1/CD1 originales. 2. Confirmar corrección por UC-I12 con actor, fecha y motivo. 3. Verificar nuevo eslabón relacionado con original, sin overwrite. 4. Inspeccionar los derivados afectados según 06/09: referencia al input efectivo y conservación de CD1 histórico; no asumir recálculo invisible. 5. En variante obsoleta verificar conflicto/denegación conforme al contrato y que no se pisa la corrección válida.",M1 original=72.5 kg en T0; corrección a 73.0 kg en T1 con motivo DEMO-ERROR-CARGA; CD1 fue calculado con M1. Segunda variante intenta corregir usando una versión de referencia obsoleta.,La corrección identifica actor y fecha; los cálculos afectados quedan relacionados o recalculados según política; no existe sobrescritura silenciosa.,`UC-E03` · `REG-06-16.4`,NOT_EXECUTED,— (11B)
TEST-RF-054,RF-054,UC-I03 UC-P24 UC-P31,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),A01 tiene eventos sintéticos en tres dominios; PN autorizado solo en Nutrición; titular habilitado para su propia consulta.,"1. A01 consulta la línea temporal y abre origen de cada evento autorizado. 2. Distinguir N1 planificado/activado de N2 registrado, conservando dominio, autor, fecha y procedencia. 3. PN consulta la misma ventana: no recibe T1/A1 fuera de su autorización. 4. Verificar que el orden temporal usa la regla declarada y que recordedAt no reemplaza silenciosamente occurredAt.","Evento N1 de activación nutricional, N2 de ingesta posterior, T1 de sesión ejecutada y A1 de medición antropométrica. N2 occurredAt=T0 y recordedAt=T0+1h para distinguir temporalidades; cada evento conserva autor y fuente.","Cada evento identifica fecha, dominio, autor y procedencia; la línea temporal no mezcla planificado con ejecutado; el acceso depende del actor.",`UC-P24` · `T-06-24`,NOT_EXECUTED,— (11B)
TEST-RF-059,RF-059,UC-I08 UC-P10 UC-P15 UC-P22,Transversal,P0,E2E,— (TEST-RF: escenario definido por el RF),Ambiente de test aislado con adaptadores controlables y catálogo propio mínimo. Credenciales locales disponibles; no cortar proveedores reales ni infraestructura compartida.,"1. En variante Google verificar acceso local. 2. En OFF preparar plan nutricional con catálogo propio/carga manual y continuar consulta, registro y revisión del núcleo. 3. En wger repetir continuidad del núcleo de Entrenamiento con EX-DEMO. 4. En Maps, para el recorrido de descubrimiento cuando esté incluido, conservar lista/ubicación textual sin inventar mapa operativo. 5. En Push verificar centro de novedades y núcleo operativos. 6. En cada variante mostrar degradación/fallback y registrar evidencia diferenciada del éxito del proveedor.","Cinco variantes independientes: timeout de Google, Open Food Facts, wger, Maps y Push. Catálogo BE: alimento AL-DEMO y ejercicio EX-DEMO. Usuario con acceso local y novedad interna NOV-DEMO. Ningún proveedor devuelve un éxito ficticio.","La caída de Google, Open Food Facts, wger, Maps o Push no impide crear, consultar, ejecutar o revisar un plan; el usuario conoce el estado y la alternativa.",`UC-I08` · `ASR-10`,NOT_EXECUTED,— (11B)
TEST-AUTH-001,—,—,Transversal,P0,E2E HTTP,login inválido neutral,Cuenta demo `asesorado.demo` existente; identificador `noexiste@demo.test` que no corresponde a ninguna cuenta.,"1. Verificar las precondiciones. 2. Intentar login con usuario inexistente y, por separado, con contraseña incorrecta sobre una cuenta existente. 3. Observar la respuesta del sistema. 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",`asesorado.demo@be.test` con contraseña válida e inválida; `noexiste@be.test` sin cuenta asociada. Todo generado por seed; ningún dato personal real.,Ambas respuestas son indistinguibles en código y cuerpo: el login no revela cuál factor falló. La comparación de tiempo no se exige: no está especificada en la fuente,"08 §27 (anti-enumeración) · 09 §20.2.1 (precedencia de revelabilidad) — la igualdad de respuesta ante usuario inexistente y contraseña incorrecta es DERIVACIÓN MESA de esas reglas, no texto literal — escenario 11A: «login inválido neutral»",NOT_EXECUTED,— (11B)
TEST-AUTH-002,—,—,Transversal,P0,E2E HTTP,registro no concede A3,Ninguna cuenta previa para el correo de prueba.,"1. Verificar las precondiciones. 2. Completar el registro (A1 + A2) y consultar el estado de consentimiento de datos de salud. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Registro nuevo con correo `nuevo.demo@be.test`; A1 y A2 aceptados en el flujo. Todo generado por seed; ningún dato personal real.,A3 figura como no otorgado: registrarse no lo concede,08 §12.2 · 09 CON-05 — escenario 11A: «registro no concede A3»,NOT_EXECUTED,— (11B)
TEST-AUTH-003,—,—,Transversal,P0,E2E HTTP,A3 ausente bloquea sensible,Cuenta creada con A1+A2; A3 sin otorgar; sesión iniciada.,"1. Verificar las precondiciones. 2. Con A3 ausente, intentar leer un recurso de datos sensibles. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Cuenta `sinA3.demo@be.test`; un identificador de recurso sensible propio. Todo generado por seed; ningún dato personal real.,Denegado por PDP; la respuesta no revela si el recurso existe,08 §13 · RF-021 — escenario 11A: «A3 ausente bloquea sensible»,NOT_EXECUTED,— (11B)
TEST-AUTH-004,—,—,Transversal,P0,E2E HTTP,revoke A3 corta prospectivamente,Cuenta con A3 vigente y sesión activa; un recurso sensible accesible antes de revocar.,"1. Verificar las precondiciones. 2. Revocar A3 y reintentar la lectura sensible en la misma sesión. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Cuenta `conA3.demo@be.test` con A3 vigente; token de sesión activo antes y después de revocar. Todo generado por seed; ningún dato personal real.,Denegada de inmediato: el corte es prospectivo y no depende de expirar la sesión,09 CON-08 · 08 §56 — escenario 11A: «revoke A3 corta prospectivamente»,NOT_EXECUTED,— (11B)
