ID,Título,Canal,Prioridad (04),Obligación en una línea,UC que lo materializa (05),Familia API (09)
RF-035,Dar continuidad o cerrar el proceso nutricional,WEBSITE,P0 — Núcleo no recortable,"Después de una revisión, BE deberá permitir mantener, ajustar, sustituir o cerrar correctamente el plan o proceso nutricional.",UC-P13 / UC-I06,NUT
RF-036,Registrar una evaluación de entrenamiento,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir registrar la evaluación necesaria para planificar entrenamiento, con autoría, fecha, contexto y fuentes.",UC-P14,TRN
RF-037,Gestionar un catálogo propio de ejercicios,WEBSITE,P0 — Núcleo no recortable,BE deberá mantener un catálogo propio de ejercicios y permitir carga manual para operar sin wger.,UC-P15,TRN/INT
RF-038,Importar ejercicios desde wger,WEBSITE,P0 — Compromiso académico de integración,BE deberá consultar e importar ejercicios desde wger mediante un proceso controlado y trazable.,UC-I07 / UC-P15,INT-TRN
RF-039,Crear un plan de entrenamiento por bloques y sesiones,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir estructurar una planificación por períodos, bloques y sesiones antes de activarla.",UC-P15,TRN
RF-040,"Prescribir ejercicios, series y parámetros",WEBSITE,P0 — Núcleo no recortable,"Dentro del plan, BE deberá permitir prescribir ejercicios y parámetros necesarios para que el asesorado sepa qué ejecutar.",UC-P15,TRN
RF-041,"Validar, versionar y activar un plan de entrenamiento",WEBSITE,P0 — Núcleo no recortable,BE deberá impedir activar una planificación incompleta y conservar una versión vigente y reproducible al activarla.,UC-P16 / UC-I04 / UC-I10,TRN
RF-042,Consultar el entrenamiento del día en la APK,APK,P0 — Núcleo no recortable,El asesorado deberá consultar desde Hoy la sesión planificada vigente y sus indicaciones.,UC-P17,TRN
RF-043,Registrar sesión y series ejecutadas,APK,P0 — Núcleo no recortable,"BE deberá permitir registrar la ejecución real de una sesión, diferenciándola de la planificación.",UC-P17,TRN
RF-044,Corregir una ejecución de forma trazable,TRANSVERSAL,P0 — Núcleo no recortable,BE deberá permitir corregir un registro de ejecución sin ocultar el valor original ni su autoría.,UC-E02 / UC-I12 / UC-I03,TRN
RF-045,Analizar evidencia de entrenamiento para una revisión,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir comparar evaluación, objetivo, planificación, ejecución y evolución antes de decidir progresión o continuidad.",UC-P18,TRN
RF-046,"Progresar, sustituir o cerrar el plan de entrenamiento",WEBSITE,P0 — Núcleo no recortable,"Después de una revisión, BE deberá permitir mantener, progresar, reprogramar, sustituir o cerrar correctamente el plan o bloque.",UC-P18 / UC-I06,TRN
RF-047,Registrar una evaluación antropométrica autorizada,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir registrar mediciones antropométricas directas con protocolo, unidades, fecha, autor y contexto.",UC-P19,ANT
RF-048,Emitir cálculos antropométricos reproducibles,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá calcular resultados derivados sin confundirlos con mediciones directas y conservando método, entradas y versión.",UC-I09 / UC-P19 / UC-E03,ANT
RF-049,Consultar evolución antropométrica,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir comparar evaluaciones antropométricas en el tiempo con período, unidad y procedencia visibles.",UC-P20,ANT/PRJ
RF-050,Corregir una medición antropométrica con trazabilidad,WEBSITE,P0 — Núcleo no recortable,BE deberá permitir corregir o anular una medición preservando el registro original y el motivo.,UC-E03 / UC-I12 / UC-I03 / UC-I09,ANT
RF-051,Publicar y descubrir servicios antropométricos de forma limitada,WEBSITE,P1 — Alta prioridad,"BE deberá permitir publicar un servicio antropométrico y descubrirlo en lista y, cuando esté disponible, mapa, para consultar perfil y solicitar vínculo.",UC-P21 / UC-P22 / UC-E04 / UC-P04 / UC-P05,ANT-P1
RF-052,Consultar la cartera operativa profesional,WEBSITE,P0 — Núcleo no recortable,BE deberá mostrar los asesorados y procesos propios con estado operativo suficiente para identificar qué requiere acción.,UC-P23 / UC-I02,DSH
RF-053,Consultar un dashboard interdisciplinario autorizado,WEBSITE,P0 — Núcleo no recortable,"BE deberá ofrecer una síntesis del proceso del asesorado que combine estado de Nutrición, Entrenamiento, Antropometría, vínculos, consentimientos, revisiones, decisiones y próxima acción.",UC-P24 / UC-I02,DSH
RF-054,Consultar una línea temporal integrada,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá reconstruir cronológicamente evaluaciones, planes, ejecuciones, revisiones, decisiones, cambios de vínculo y consentimientos según permisos.",UC-P24 / UC-P31 / UC-I03,DSH
RF-055,Identificar revisiones pendientes,WEBSITE,P0 — Núcleo no recortable,"BE deberá señalar procesos que requieren revisión por evidencia nueva, fecha acordada, ausencia de continuidad o condición definida.",UC-P23 / UC-I05,DSH
RF-056,"Registrar revisión, decisión y próxima acción",WEBSITE,P0 — Núcleo no recortable,BE deberá registrar de forma trazable una revisión válida y su próxima acción dentro del dominio correspondiente.,UC-I05; invocado por UC-P13 y UC-P18,NUT/TRN
RF-057,Registrar notas de coordinación autorizadas,WEBSITE,P0 — Núcleo no recortable,BE deberá permitir documentar contexto de coordinación sin transferir responsabilidad ni facultades entre especialidades.,UC-E07 / UC-I02 / UC-I03,CRD
RF-058,Obtener TVCC-30 de manera reproducible,TRANSVERSAL,P1 — Alta prioridad,"BE deberá producir los datos necesarios para calcular TVCC-30 con vínculos elegibles, ciclo cerrado y siguiente acción válida en el período.",UC-S01; productores UC-P13 / UC-P18 mediante UC-I05 / UC-I06,ANA-P1
RF-059,Continuar el núcleo ante fallas de terceros,TRANSVERSAL,P0 — Núcleo no recortable,Las funciones núcleo deberán continuar mediante fuente propia o carga manual cuando un proveedor externo no esté disponible.,UC-I08 / TR-04 / UC-P10 / UC-P15 / UC-P22,INT/SYS
RF-060,Consultar la procedencia de datos externos,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir identificar proveedor, fecha y referencia suficiente de un dato externo en los contextos donde se utiliza.",UC-I08 / TR-04 / UC-P10 / UC-P15,INT/SYS
RF-061,Consultar novedades internas,TRANSVERSAL,P1 — Alta prioridad,BE deberá disponer de un centro interno donde mostrar novedades operativas relevantes para el actor.,UC-P30,COM-P1
RF-062,Recibir notificaciones push,TRANSVERSAL,P2 — Condicionado / recortable,"BE podrá enviar notificaciones push para novedades seleccionadas, sin convertirlas en única vía de información.",UC-E08,COM-P2
RF-064,Definir un objetivo de entrenamiento vigente,WEBSITE,P0 — Núcleo no recortable,BE deberá permitir registrar un objetivo de entrenamiento vigente y relacionarlo con la evaluación y la planificación.,UC-P14,TRN
RF-065,Consultar progreso longitudinal en la APK,APK,P0 — Núcleo no recortable,"La APK deberá permitir al asesorado consultar una síntesis comprensible de su evolución autorizada en Nutrición, Entrenamiento y Antropometría.",UC-P31 / UC-I02,DSH
RF-066,Representar habilitaciones y capacidad sin cobro real,WEBSITE,P1 — Alta prioridad,"El MVP académico deberá poder configurar o simular habilitaciones y banda de capacidad profesional sin implementar cobros, facturación ni renovación.",UC-P29 / UC-I10 / UC-P11 / UC-P16 / UC-P19 / UC-P21,ADM-P1 + SYS
RF-067,Declarar la capacidad antropométrica transversal y aportar evidencia,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir declarar una capacidad antropométrica transversal y aportar evidencia propia, independiente de las especialidades de Nutrición y Entrenamiento.",UC-P01 / UC-I01,PRO
RF-068,Registrar y gestionar incidencias administrativas mínimas,TRANSVERSAL,P1 — Alta prioridad,"BE deberá permitir reportar y gestionar incidencias operativas vinculadas con acceso, perfiles, vínculos, integridad de información o funcionamiento de los recorridos, sin convertir el MVP en una plataforma general de soporte.",UC-P28,ADM-P1
RF-069,Solicitar el cierre de la propia cuenta,TRANSVERSAL,P1 — Alta prioridad,"BE deberá permitir al titular solicitar el cierre de su propia cuenta mediante una acción autenticada y trazable, sin eliminar silenciosamente vínculos, decisiones ni evidencia histórica.",UC-P27,ACC-P1
RF-070,Utilizar métodos profesionales de cálculo reproducible,WEBSITE,P0 — Núcleo no recortable,"BE deberá permitir al profesional autorizado consultar y ejecutar métodos de cálculo habilitados y versionados para una finalidad pertinente, conservando requisitos de entrada, versión del método, inputs efectivos, procedencia y resultado, sin convertir el cálculo ni una eventual sugerencia en una decisión profesional automática.","UC-I13; invocado por UC-P09, UC-P14 y especializado por UC-I09",MTH/CAL
RF-071,Solicitar y completar información profesional pertinente,TRANSVERSAL,P0 — Núcleo no recortable,"BE deberá permitir que un profesional autorizado solicite al asesorado información estructurada pertinente para una finalidad y alcance determinados, y que el asesorado la complete conservando solicitante, finalidad, versión de la estructura, estado y procedencia de la respuesta.",UC-P32 / UC-P33 / UC-I02 / UC-I03,FRM
