T-06,concepto_canonico,nombre_corto_figura,regimen,areas_M,bloque_06,seccion_maestra_06,familias_API_09,UC_05_que_lo_usan,n_UC,RF_04,n_RF,nombre_DV-04,nombre_DV-06,nombre_DV-07,componente_DV-09,estado
T-06-20,Versión,Versión,PROPIETARIO-06,M-06,B-06,4,—,UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-S01,9,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,18,UC-I01,Versión,Versión,,ASIGNADO
T-06-21,Instantánea reproducible (snapshot),Instantánea,PROPIETARIO-06,M-06,B-06,4,—,UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-S01,9,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,18,UC-I01,Instantánea reproducible (snapshot),InstantáneaReproducible,,ASIGNADO
T-06-22,Corrección trazable,Corrección,PROPIETARIO-06,M-06,B-06,4,—,UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-S01,9,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,18,UC-I01,Corrección trazable,CorrecciónTrazable,,ASIGNADO
T-06-23,Procedencia,Procedencia,PROPIETARIO-06,M-06,B-06,4,—,UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-S01,9,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,18,UC-I01,Procedencia,Procedencia,,ASIGNADO
T-06-24,Momento de ocurrencia / Momento de registro,Ocurrencia/Registro,PROPIETARIO-06,M-06/M-11,B-06,4,—,UC-E07 UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-P23 UC-P24 UC-P31 UC-S01,13,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-052 RF-053 RF-054 RF-055 RF-057 RF-058 RF-059 RF-060 RF-065 RF-066 RF-067 RF-070 RF-071,22,UC-E07,Momento de ocurrencia / Momento de registro,MomentoDeOcurrenciaMomentoDeRegistro,,ASIGNADO
T-06-25,Proceso (operativo abierto / vigente / nuevo),Proceso,PROPIETARIO-06,M-04,B-04,8,—,UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-S01,9,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-054 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,18,UC-I01,Proceso (operativo abierto / vigente / nuevo),Proceso,,ASIGNADO
T-06-26,Activación de plan,Activación,PROPIETARIO-06,M-04/M-07/M-08,B-04,8,—,UC-E02 UC-I01 UC-I03 UC-I04 UC-I05 UC-I06 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-P09 UC-P10 UC-P11,22,RF-007 RF-009 RF-025 RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-035 RF-038 RF-041 RF-044 RF-046 RF-050 RF-054 RF-055 RF-056 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,26,UC-E02,Activación de plan,ActivaciónDePlan,,ASIGNADO
T-06-27,Objetivo vigente,Objetivo,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/INT-NUT,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Objetivo vigente,ObjetivoVigente,,ASIGNADO
T-06-28,Plan profesional / Plan nutricional,Plan,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/INT-NUT,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Plan profesional / Plan nutricional,PlanProfesionalPlanNutricional,,ASIGNADO
T-06-29,Borrador de plan · Versión activada,Prescripción,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/INT-NUT,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Borrador de plan · Versión activada,BorradorDePlan·VersiónActivada,,ASIGNADO
T-06-30,Adherencia o ejecución registrada,Ingesta registrada,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/INT-NUT,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Adherencia o ejecución registrada,AdherenciaOEjecuciónRegistrada,,ASIGNADO
T-06-31,Catálogo propio · Importación controlada,Catálogo,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/INT-NUT,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Catálogo propio · Importación controlada,CatálogoPropio·ImportaciónControlada,,ASIGNADO
T-06-32,Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real,Ejecución real,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Bloque de entrenamiento · Prescripción de entrenamiento · Ejecución real,BloqueDeEntrenamiento·PrescripciónDeEntrenamiento·EjecuciónReal,,ASIGNADO
T-06-33,Medición antropométrica directa · Protocolo identificado,Medición directa,PROPIETARIO-06,M-09,B-10,13,ANT,UC-E03 UC-E04 UC-I09 UC-I12 UC-P19 UC-P20 UC-P21 UC-P22,8,RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-059 RF-066 RF-070,9,UC-E03,Medición antropométrica directa · Protocolo identificado,MediciónAntropométricaDirecta·ProtocoloIdentificado,,ASIGNADO
T-06-34,Cálculo antropométrico derivado,Cálculo derivado,PROPIETARIO-06,M-09,B-10,13,ANT,UC-E03 UC-E04 UC-I09 UC-I12 UC-P19 UC-P20 UC-P21 UC-P22,8,RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-059 RF-066 RF-070,9,UC-E03,Cálculo antropométrico derivado,CálculoAntropométricoDerivado,,ASIGNADO
T-06-35,Evolución antropométrica,Evolución,PROPIETARIO-06,M-09/M-11,B-10,13,ANT,UC-E03 UC-E04 UC-E07 UC-I09 UC-I12 UC-P19 UC-P20 UC-P21 UC-P22 UC-P23 UC-P24 UC-P31,12,RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-052 RF-053 RF-054 RF-055 RF-057 RF-059 RF-065 RF-066 RF-070,15,UC-E03,Evolución antropométrica,EvoluciónAntropométrica,,ASIGNADO
T-06-36,Servicio antropométrico limitado · Ubicación utilizable,Servicio publicado,PROPIETARIO-06,M-09,B-10,13,ANT,UC-E03 UC-E04 UC-I09 UC-I12 UC-P19 UC-P20 UC-P21 UC-P22,8,RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-059 RF-066 RF-070,9,UC-E03,Servicio antropométrico limitado · Ubicación utilizable,ServicioAntropométricoLimitado·UbicaciónUtilizable,,ASIGNADO
T-06-37,Revisión profesional válida,Revisión válida,PROPIETARIO-06,M-10,B-09,12,—,UC-I05 UC-I06 UC-P13,3,RF-034 RF-035 RF-046 RF-055 RF-056 RF-058,6,UC-I05,Revisión profesional válida,RevisiónProfesionalVálida,,ASIGNADO
T-06-38,Resultado semántico de revisión,Resultado,PROPIETARIO-06,M-10,B-09,12,—,UC-I05 UC-I06 UC-P13,3,RF-034 RF-035 RF-046 RF-055 RF-056 RF-058,6,UC-I05,Resultado semántico de revisión,ResultadoSemánticoDeRevisión,,ASIGNADO
T-06-39,Próxima acción,Próxima acción,PROPIETARIO-06,M-10,B-09,12,—,UC-I05 UC-I06 UC-P13,3,RF-034 RF-035 RF-046 RF-055 RF-056 RF-058,6,UC-I05,Próxima acción,PróximaAcción,,ASIGNADO
T-06-40,Ciclo cerrado trazable,Ciclo cerrado,PROPIETARIO-06,M-10/M-12,B-09,12,—,UC-E07 UC-I01 UC-I03 UC-I04 UC-I05 UC-I06 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-P13 UC-P23 UC-P24,16,RF-007 RF-009 RF-025 RF-028 RF-031 RF-034 RF-035 RF-038 RF-041 RF-044 RF-046 RF-050 RF-052 RF-053 RF-054 RF-055 RF-056 RF-057 RF-058 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,25,UC-E07,Ciclo cerrado trazable,CicloCerradoTrazable,,ASIGNADO
T-06-41,Revisión pendiente,Revisión pendiente,PROPIETARIO-06,M-10/M-11,B-09,12,—,UC-E07 UC-I05 UC-I06 UC-P13 UC-P23 UC-P24 UC-P31,7,RF-034 RF-035 RF-046 RF-052 RF-053 RF-054 RF-055 RF-056 RF-057 RF-058 RF-065,11,UC-E07,Revisión pendiente,RevisiónPendiente,,ASIGNADO
T-06-42,Cartera profesional · Dashboard interdisciplinario · Línea temporal longitudinal · Progreso longitudinal propio,Proyección,PROPIETARIO-06,M-11,B-11,14,DSH/PRJ/CRD,UC-E07 UC-P23 UC-P24 UC-P31,4,RF-052 RF-053 RF-054 RF-055 RF-057 RF-065,6,UC-E07,Cartera profesional · Dashboard interdisciplinario · Línea temporal longitudinal · Progreso longitudinal propio,CarteraProfesional·DashboardInterdisciplinario·LíneaTemporalLongitudinal·ProgresoLongitudinalPropio,,ASIGNADO
T-06-43,Nota de coordinación autorizada,Línea temporal,PROPIETARIO-06,M-11,B-11,14,DSH/PRJ/CRD,UC-E07 UC-P23 UC-P24 UC-P31,4,RF-052 RF-053 RF-054 RF-055 RF-057 RF-065,6,UC-E07,Nota de coordinación autorizada,NotaDeCoordinaciónAutorizada,,ASIGNADO
T-06-44,TVCC-30,TVCC-30,PROPIETARIO-06,M-12,B-12,15,ANA-P1,UC-E07 UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I10 UC-I11 UC-I13 UC-P23 UC-P24 UC-P31 UC-S01,13,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-050 RF-052 RF-053 RF-054 RF-055 RF-057 RF-058 RF-059 RF-060 RF-065 RF-066 RF-067 RF-070 RF-071,22,UC-E07,TVCC-30,TVCC-30,,ASIGNADO
T-06-45,Alcance,Alcance,PROPIETARIO-06,M-02/M-03,B-02,6,PRO,UC-E01 UC-E08 UC-I02 UC-P01 UC-P02 UC-P03 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30,16,RF-008 RF-009 RF-010 RF-011 RF-012 RF-013 RF-014 RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-067 RF-068 RF-071,26,UC-E01,Alcance,Alcance,,ASIGNADO
T-06-46,Progresión de entrenamiento,Progresión,PROPIETARIO-06,M-08/M-10,B-08,11,TRN/INT-TRN,UC-E02 UC-I05 UC-I06 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,9,RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,21,UC-E02,Progresión de entrenamiento,ProgresiónDeEntrenamiento,,ASIGNADO
T-06-47,Día tipo,Día tipo,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Día tipo,DíaTipo,,ASIGNADO
T-06-48,Comida,Comida,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Comida,Comida,,ASIGNADO
T-06-49,Opción de comida,Opción de comida,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Opción de comida,OpciónDeComida,,ASIGNADO
T-06-50,Ítem prescripto,Ítem prescripto,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Ítem prescripto,ÍtemPrescripto,,ASIGNADO
T-06-51,Grupo de intercambio,Grupo de intercambio,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Grupo de intercambio,GrupoDeIntercambio,,ASIGNADO
T-06-52,Nutriente crítico,Nutriente crítico,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Nutriente crítico,NutrienteCrítico,,ASIGNADO
T-06-53,Estado de preparación,Estado de preparación,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Estado de preparación,EstadoDePreparación,,ASIGNADO
T-06-54,Ingesta registrada,Ingesta registrada,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Ingesta registrada,IngestaRegistrada,,ASIGNADO
T-06-55,Atributo nutricional extendido,Atributo,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Atributo nutricional extendido,AtributoNutricionalExtendido,,ASIGNADO
T-06-56,Modalidad de prescripción y registro nutricional,Modalidad de,PROPIETARIO-06,M-07,B-07,10,NUT/INT-NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Modalidad de prescripción y registro nutricional,ModalidadDePrescripciónYRegistroNutricional,,ASIGNADO
T-06-64,Recurso didáctico de catálogo,Recurso didáctico,PROPIETARIO-06,M-07/M-08,B-07,10,NUT/TRN,UC-E02 UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,13,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,29,UC-E02,Recurso didáctico de catálogo,RecursoDidácticoDeCatálogo,,ASIGNADO
